Relevant,Title,URL
1,College Student Makes Masks For The Deaf & Hard Of Hearing Community,https://designyoutrust.com/2020/04/college-student-makes-masks-for-the-deaf-hard-of-hearing-community/
1,PinpointHealth.us Launches Crucial COVID-19 Screening & Monitoring Software Tool Allowing People to Safely Return to Work,https://news.yahoo.com/pinpointhealth-us-launches-crucial-covid-100000794.html
1,Researchers develop emergency ventilator based on resuscitation bags used in ambulances,https://techcrunch.com/2020/04/06/researchers-develop-emergency-ventilator-based-on-resuscitation-bags-used-in-ambulances/
1,MIT researchers create a reusable silicone mask to replace the N95,https://www.fastcompany.com/90527995/mit-researchers-create-a-reusable-silicone-mask-to-replace-the-n95
1,Researchers Create Air Filter That Can Kill the Coronavirus,https://uh.edu/news-events/stories/july-2020/07072020ren-coronavirus-filter.php
1,U.S. researchers testing wearable tech to aid in coronavirus symptom detection - Global News,https://globalnews.ca/news/6916704/researchers-wearable-tech-coronavirus-detection/
1,Innovating from necessity: The business-building imperative in the current crisis,https://www.mckinsey.com/business-functions/mckinsey-digital/our-insights/innovating-from-necessity-the-business-building-imperative-in-the-current-crisis
1,Respirators From 3D Printers: How The Spanish Maker Community Fights Covid-19 From Their Living Rooms,https://www.forbes.com/sites/ashoka/2020/03/23/respirators-from-3d-printers-how-the-spanish-maker-community-fights-covid-19-from-their-living-rooms/
1,Hospital Workers Are Making Their Own Face Masks Using Craft Supplies,https://gizmodo.com/hospital-workers-are-making-their-own-face-masks-using-1842391094
1,"Making 3D printed face shields, mask accessories and other coronavirus tools - CNET",https://www.cnet.com/news/making-3d-printed-face-mask-accessories-and-coronavirus-19-tools/
1,MIT researchers created a reusable face mask that works like an N95 respirator,https://www.cnn.com/2020/07/25/health/reusable-face-mask-mit-wellness-trnd/index.html
1,COVID-19: Alternative Masks,https://www.adsoftheworld.com/media/design/covid19_alternative_masks
1,There's a global shortage of face masks â€” but people around the world are using creative methods to make their own,https://www.businessinsider.com/coronavirus-make-own-face-mask-2020-3
1,Chinese startup Rokid pitches COVID-19 detection glasses in U.S.,https://techcrunch.com/2020/04/16/chinese-startup-rokid-pitches-covid-19-detection-glasses-in-u-s/
1,Boston Dynamics is open-sourcing its robot tech to help hospitals fight coronavirus,https://thenextweb.com/robots/2020/04/24/boston-dynamics-is-open-sourcing-its-robot-tech-to-help-hospitals-fight-coronavirus/
1,"Startups are making nasal swabs, clinical testing booths, and fever detection systems to fight the pandemic. Here are the 11 coolest pivots in tech since the coronavirus outbreak",https://www.businessinsider.com/tech-startups-pivot-in-coronavirus-pandemic-2020-4
1,"iFixit is building a repair database for medical equipment, and it needs your help",https://www.theverge.com/2020/3/20/21187981/ifixit-medical-device-repair-database-guides-ventilators-coronavirus-covid-19
1,Researchers to study if startupâ€™s wrist-worn wearable can detect early COVID-19 respiratory issues,https://techcrunch.com/2020/04/01/researchers-to-study-if-startups-wrist-worn-wearable-can-detect-early-covid-19-respiratory-issues/
1,"LabCorp Launches First Combined Test for Covid-19, Flu and RSV in Time for Flu Season - Stockhouse",https://stockhouse.com/news/press-releases/2020/09/08/labcorp-launches-first-combined-test-for-covid-19-flu-and-rsv-in-time-for-flu
1,"Primary care doctors are delivering toilet paper, testing patients in their cars, and going online to combat the coronavirus epidemic",https://www.businessinsider.com/coronavirus-primary-care-doctors-villagemd-chenmed-2020-3
1,High-flying facemasks arrive at Mexican hospitals by drone - Reuters,https://www.reuters.com/article/us-health-coronavirus-mexico-drones-idUSKBN24335O
